time,open,high,low,close,VWAP,VWAP Upper,VWAP Lower,VWAP Upper (2),VWAP Lower (2),VWAP Upper (3),VWAP Lower (3),VWAP Upper (4),VWAP Lower (4),VWAP Upper (5),VWAP Lower (5),Plot,E50,E200,E20,Volume,%D,%D,%D,%D
1765426440,6836.1,6836.1,6833.9,6833.9,6850.908368857313,6877.650946904828,6824.165790809798,6892.902573447552,6808.914164267074,6903.348892997362,6798.467844717264,,,,,,6832.30829360305,6831.622059788992,6849.231974011828,48,78.27231931978993,85.15964240102169,91.84504913076478,94.04936704327352
1765426500,6833.8,6834.9,6833.6,6833.6,6850.825930835395,6877.544186039832,6824.1076756309585,6892.781940961113,6808.869920709678,6903.218759400346,6798.433102270445,,,,,,6832.431313259902,6831.699626071777,6849.107416449981,84,57.10565265313114,72.98474945534325,86.98037676609246,92.93847595416543
1765426560,6833.9,6834.6,6833.5,6834.1,6850.7472352527275,6877.443101753372,6824.051368752083,6892.6680881170205,6808.8263823884345,6903.096160968835,6798.39830953662,,,,,,6832.590235806578,6831.793758382688,6848.987835442412,80,42.09195402299604,64.96732026144362,81.72051282051692,91.1733321301392
1765426620,6834.5,6835.4,6833.9,6834,6850.6804963503655,6877.353843097116,6824.007149603615,6892.565986163621,6808.79500653711,6902.985262236571,6798.37573046416,,,,,,6832.724499063094,6831.880277661799,6848.8684104588065,71,40.00000000001213,64.43184502717365,77.25384615384976,89.63999879680574
1765426680,6834.1,6834.6,6833.6,6834.2,6850.629339853302,6877.287503892419,6823.971175814184,6892.490988070979,6808.767691635624,6902.904333398759,6798.354346307844,,,,,,6832.865022961847,6831.971247165257,6848.751530694194,53,42.00000000000862,65.04425437447095,76.28039482641616,88.23999879680551
1765426740,6834.3,6834.6,6834,6834.1,6850.589512195123,6877.235099978612,6823.943924411633,6892.431411761383,6808.747612628862,6902.839844489308,6798.339179900937,,,,,,6832.982639822623,6832.054727668581,6848.634785429698,42,33.21568627451777,59.93269250834451,76.26291230893389,86.91387267067986
1765426800,6834.1,6834.1,6833.4,6834.1,6850.543675797765,6877.176662336962,6823.910689258568,6892.365787472599,6808.721564122931,6902.7692978394725,6798.318053756057,,,,,,6833.089055077611,6832.134934426676,6848.518970406354,47,25.882352941188945,52.91261218706378,75.1962456422675,85.20468631897488
1765426860,6834.3,6834.4,6833,6833.6,6850.512518064629,6877.136982866093,6823.888053263166,6892.321247948177,6808.703788181081,6902.721429511248,6798.30360661801,,,,,,6833.137716498791,6832.192387978572,6848.400094148136,32,17.67722473606298,43.241379310356685,72.98653690440389,83.59727891156743
1765426920,6833.2,6833.4,6830.9,6830.9,6850.424836037281,6877.035033353966,6823.814638720596,6892.211161511138,6808.6385105634245,6902.605769837968,6798.243902236594,,,,,,6832.924600641763,6832.141706097059,6848.260651166876,83,11.79487179488231,26.000000000009702,64.39688143571998,79.73333333333662
1765426980,6831,6831.4,6829.9,6830.1,6850.351163523816,6876.956474010516,6823.745853037115,6892.129815147463,6808.572511900168,6902.52251455633,6798.179812491301,,,,,,6832.655591056833,6832.061639191292,6848.115944783077,65,6.340326340334336,12.285714285722598,54.255663430423255,75.73333333333662
