pair,timeframe,symbol
185,1m,EURUSD_SB
185,5m,EURUSD_SB
185,15m,EURUSD_SB
185,30m,EURUSD_SB
185,1h,EURUSD_SB
185,4h,EURUSD_SB
185,1d,EURUSD_SB
199,1m,GBPUSD_SB
199,5m,GBPUSD_SB
199,15m,GBPUSD_SB
199,30m,GBPUSD_SB
199,1h,GBPUSD_SB
199,4h,GBPUSD_SB
199,1d,GBPUSD_SB
226,1m,USDJPY_SB
226,5m,USDJPY_SB
226,15m,USDJPY_SB
226,30m,USDJPY_SB
226,1h,USDJPY_SB
226,4h,USDJPY_SB
226,1d,USDJPY_SB
222,1m,USDCHF_SB
222,5m,USDCHF_SB
222,15m,USDCHF_SB
222,30m,USDCHF_SB
222,1h,USDCHF_SB
222,4h,USDCHF_SB
222,1d,USDCHF_SB
158,1m,AUDUSD_SB
158,5m,AUDUSD_SB
158,15m,AUDUSD_SB
158,30m,AUDUSD_SB
158,1h,AUDUSD_SB
158,4h,AUDUSD_SB
158,1d,AUDUSD_SB
221,1m,USDCAD_SB
221,5m,USDCAD_SB
221,15m,USDCAD_SB
221,30m,USDCAD_SB
221,1h,USDCAD_SB
221,4h,USDCAD_SB
221,1d,USDCAD_SB
211,1m,NZDUSD_SB
211,5m,NZDUSD_SB
211,15m,NZDUSD_SB
211,30m,NZDUSD_SB
211,1h,NZDUSD_SB
211,4h,NZDUSD_SB
211,1d,NZDUSD_SB
175,1m,EURGBP_SB
175,5m,EURGBP_SB
175,15m,EURGBP_SB
175,30m,EURGBP_SB
175,1h,EURGBP_SB
175,4h,EURGBP_SB
175,1d,EURGBP_SB
177,1m,EURJPY_SB
177,5m,EURJPY_SB
177,15m,EURJPY_SB
177,30m,EURJPY_SB
177,1h,EURJPY_SB
177,4h,EURJPY_SB
177,1d,EURJPY_SB
173,1m,EURCHF_SB
173,5m,EURCHF_SB
173,15m,EURCHF_SB
173,30m,EURCHF_SB
173,1h,EURCHF_SB
173,4h,EURCHF_SB
173,1d,EURCHF_SB
171,1m,EURAUD_SB
171,5m,EURAUD_SB
171,15m,EURAUD_SB
171,30m,EURAUD_SB
171,1h,EURAUD_SB
171,4h,EURAUD_SB
171,1d,EURAUD_SB
172,1m,EURCAD_SB
172,5m,EURCAD_SB
172,15m,EURCAD_SB
172,30m,EURCAD_SB
172,1h,EURCAD_SB
172,4h,EURCAD_SB
172,1d,EURCAD_SB
180,1m,EURNZD_SB
180,5m,EURNZD_SB
180,15m,EURNZD_SB
180,30m,EURNZD_SB
180,1h,EURNZD_SB
180,4h,EURNZD_SB
180,1d,EURNZD_SB
192,1m,GBPJPY_SB
192,5m,GBPJPY_SB
192,15m,GBPJPY_SB
192,30m,GBPJPY_SB
192,1h,GBPJPY_SB
192,4h,GBPJPY_SB
192,1d,GBPJPY_SB
191,1m,GBPCHF_SB
191,5m,GBPCHF_SB
191,15m,GBPCHF_SB
191,30m,GBPCHF_SB
191,1h,GBPCHF_SB
191,4h,GBPCHF_SB
191,1d,GBPCHF_SB
189,1m,GBPAUD_SB
189,5m,GBPAUD_SB
189,15m,GBPAUD_SB
189,30m,GBPAUD_SB
189,1h,GBPAUD_SB
189,4h,GBPAUD_SB
189,1d,GBPAUD_SB
190,1m,GBPCAD_SB
190,5m,GBPCAD_SB
190,15m,GBPCAD_SB
190,30m,GBPCAD_SB
190,1h,GBPCAD_SB
190,4h,GBPCAD_SB
190,1d,GBPCAD_SB
195,1m,GBPNZD_SB
195,5m,GBPNZD_SB
195,15m,GBPNZD_SB
195,30m,GBPNZD_SB
195,1h,GBPNZD_SB
195,4h,GBPNZD_SB
195,1d,GBPNZD_SB
155,1m,AUDJPY_SB
155,5m,AUDJPY_SB
155,15m,AUDJPY_SB
155,30m,AUDJPY_SB
155,1h,AUDJPY_SB
155,4h,AUDJPY_SB
155,1d,AUDJPY_SB
156,1m,AUDNZD_SB
156,5m,AUDNZD_SB
156,15m,AUDNZD_SB
156,30m,AUDNZD_SB
156,1h,AUDNZD_SB
156,4h,AUDNZD_SB
156,1d,AUDNZD_SB
153,1m,AUDCAD_SB
153,5m,AUDCAD_SB
153,15m,AUDCAD_SB
153,30m,AUDCAD_SB
153,1h,AUDCAD_SB
153,4h,AUDCAD_SB
153,1d,AUDCAD_SB
210,1m,NZDJPY_SB
210,5m,NZDJPY_SB
210,15m,NZDJPY_SB
210,30m,NZDJPY_SB
210,1h,NZDJPY_SB
210,4h,NZDJPY_SB
210,1d,NZDJPY_SB
162,1m,CADJPY_SB
162,5m,CADJPY_SB
162,15m,CADJPY_SB
162,30m,CADJPY_SB
162,1h,CADJPY_SB
162,4h,CADJPY_SB
162,1d,CADJPY_SB
163,1m,CHFJPY_SB
163,5m,CHFJPY_SB
163,15m,CHFJPY_SB
163,30m,CHFJPY_SB
163,1h,CHFJPY_SB
163,4h,CHFJPY_SB
163,1d,CHFJPY_SB
205,1m,NAS100_SB
205,5m,NAS100_SB
205,15m,NAS100_SB
205,30m,NAS100_SB
205,1h,NAS100_SB
205,4h,NAS100_SB
205,1d,NAS100_SB
220,1m,US500_SB
220,5m,US500_SB
220,15m,US500_SB
220,30m,US500_SB
220,1h,US500_SB
220,4h,US500_SB
220,1d,US500_SB
200,1m,GER40_SB
200,5m,GER40_SB
200,15m,GER40_SB
200,30m,GER40_SB
200,1h,GER40_SB
200,4h,GER40_SB
200,1d,GER40_SB
217,1m,UK100_SB
217,5m,UK100_SB
217,15m,UK100_SB
217,30m,UK100_SB
217,1h,UK100_SB
217,4h,UK100_SB
217,1d,UK100_SB
219,1m,US30_SB
219,5m,US30_SB
219,15m,US30_SB
219,30m,US30_SB
219,1h,US30_SB
219,4h,US30_SB
219,1d,US30_SB
