Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit short,2025-12-29 02:34,Exit Short,9899.3,1,9899.3,0,0.00,0.4,0.00,-0.3,0.00,0,0.00
1,Entry short,2025-12-29 02:32,Short,9899.3,1,9899.3,0,0.00,0.4,0.00,-0.3,0.00,0,0.00
2,Exit long,2025-12-29 03:41,Safety Net,9891.9,1,9892.7,-0.8,-0.01,0.2,0.00,-2.6,-0.03,-0.8,-0.01
2,Entry long,2025-12-29 03:19,Long,9892.7,1,9892.7,-0.8,-0.01,0.2,0.00,-2.6,-0.03,-0.8,-0.01
3,Exit long,2025-12-29 03:53,Exit Long,9888.6,1,9888.6,0,0.00,0.4,0.00,0,0.00,-0.8,-0.01
3,Entry long,2025-12-29 03:52,Long,9888.6,1,9888.6,0,0.00,0.4,0.00,0,0.00,-0.8,-0.01
4,Exit long,2025-12-29 05:16,Exit Long,9882,1,9881.9,0.1,0.00,0.5,0.01,0,0.00,-0.7,-0.01
4,Entry long,2025-12-29 05:15,Long,9881.9,1,9881.9,0.1,0.00,0.5,0.01,0,0.00,-0.7,-0.01
5,Exit short,2025-12-29 06:25,Exit Short,9888.2,1,9888.9,0.7,0.01,1.1,0.01,0,0.00,0,0.00
5,Entry short,2025-12-29 06:25,Short,9888.9,1,9888.9,0.7,0.01,1.1,0.01,0,0.00,0,0.00
6,Exit long,2025-12-29 06:46,Exit Long,9884.4,1,9883.6,0.8,0.01,1.6,0.02,-0.1,0.00,0.8,0.01
6,Entry long,2025-12-29 06:43,Long,9883.6,1,9883.6,0.8,0.01,1.6,0.02,-0.1,0.00,0.8,0.01
7,Exit short,2025-12-29 07:06,Exit Short,9890.8,1,9892.7,1.9,0.02,2.3,0.02,-2.5,-0.03,2.7,0.03
7,Entry short,2025-12-29 07:03,Short,9892.7,1,9892.7,1.9,0.02,2.3,0.02,-2.5,-0.03,2.7,0.03
8,Exit long,2025-12-29 07:59,Exit Long,9880.6,1,9880.4,0.2,0.00,0.6,0.01,-6,-0.06,2.9,0.03
8,Entry long,2025-12-29 07:51,Long,9880.4,1,9880.4,0.2,0.00,0.6,0.01,-6,-0.06,2.9,0.03
9,Exit long,2025-12-29 08:10,Exit Long,9877.6,1,9872.7,4.9,0.05,5.3,0.05,-0.6,-0.01,7.8,0.08
9,Entry long,2025-12-29 08:10,Long,9872.7,1,9872.7,4.9,0.05,5.3,0.05,-0.6,-0.01,7.8,0.08
10,Exit long,2025-12-29 08:27,Exit Long,9876.3,1,9875.1,1.2,0.01,1.6,0.02,-4,-0.04,9,0.09
10,Entry long,2025-12-29 08:25,Long,9875.1,1,9875.1,1.2,0.01,1.6,0.02,-4,-0.04,9,0.09
11,Exit long,2025-12-29 08:32,Exit Long,9878.7,1,9871.2,7.5,0.08,7.9,0.08,-0.1,0.00,16.5,0.17
11,Entry long,2025-12-29 08:31,Long,9871.2,1,9871.2,7.5,0.08,7.9,0.08,-0.1,0.00,16.5,0.17
12,Exit long,2025-12-29 08:54,Exit Long,9870.8,1,9870,0.8,0.01,1.2,0.01,-0.8,-0.01,17.3,0.17
12,Entry long,2025-12-29 08:54,Long,9870,1,9870,0.8,0.01,1.2,0.01,-0.8,-0.01,17.3,0.17
13,Exit short,2025-12-29 09:31,Exit Short,9876.9,1,9878.4,1.5,0.02,1.9,0.02,-0.9,-0.01,18.8,0.19
13,Entry short,2025-12-29 09:31,Short,9878.4,1,9878.4,1.5,0.02,1.9,0.02,-0.9,-0.01,18.8,0.19
14,Exit short,2025-12-29 09:48,Exit Short,9886.4,1,9887.5,1.1,0.01,1.5,0.02,-0.7,-0.01,19.9,0.20
14,Entry short,2025-12-29 09:47,Short,9887.5,1,9887.5,1.1,0.01,1.5,0.02,-0.7,-0.01,19.9,0.20
15,Exit long,2025-12-29 10:15,Exit Long,9879.9,1,9877.7,2.2,0.02,2.6,0.03,0,0.00,22.1,0.22
15,Entry long,2025-12-29 10:15,Long,9877.7,1,9877.7,2.2,0.02,2.6,0.03,0,0.00,22.1,0.22
16,Exit long,2025-12-29 10:51,Exit Long,9874.6,1,9873.7,0.9,0.01,1.3,0.01,0,0.00,23,0.23
16,Entry long,2025-12-29 10:50,Long,9873.7,1,9873.7,0.9,0.01,1.3,0.01,0,0.00,23,0.23
17,Exit long,2025-12-29 10:58,Exit Long,9876.2,1,9874.6,1.6,0.02,2,0.02,-1.8,-0.02,24.6,0.25
17,Entry long,2025-12-29 10:55,Long,9874.6,1,9874.6,1.6,0.02,2,0.02,-1.8,-0.02,24.6,0.25
18,Exit short,2025-12-29 11:17,Exit Short,9883.1,1,9885.5,2.4,0.02,2.8,0.03,-0.7,-0.01,27,0.27
18,Entry short,2025-12-29 11:14,Short,9885.5,1,9885.5,2.4,0.02,2.8,0.03,-0.7,-0.01,27,0.27
19,Exit short,2025-12-29 11:54,Exit Short,9885.3,1,9885.5,0.2,0.00,0.6,0.01,0,0.00,27.2,0.27
19,Entry short,2025-12-29 11:54,Short,9885.5,1,9885.5,0.2,0.00,0.6,0.01,0,0.00,27.2,0.27
20,Exit short,2025-12-29 12:00,Exit Short,9888.9,1,9890.5,1.6,0.02,2,0.02,-0.7,-0.01,28.8,0.29
20,Entry short,2025-12-29 12:00,Short,9890.5,1,9890.5,1.6,0.02,2,0.02,-0.7,-0.01,28.8,0.29
