Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit short,2025-12-29 03:22,Exit Short,9891.3,1,9899.3,8,0.08,8,0.08,-0.3,0.00,8,0.32
1,Entry short,2025-12-29 02:32,Short,9899.3,1,9899.3,8,0.08,8,0.08,-0.3,0.00,8,0.32
2,Exit long,2025-12-29 05:02,Exit Long,9883.4,1,9891.4,-8,-0.08,1.3,0.01,-8,-0.08,0,0.00
2,Entry long,2025-12-29 03:24,Long,9891.4,1,9891.4,-8,-0.08,1.3,0.01,-8,-0.08,0,0.00
3,Exit long,2025-12-29 06:27,Exit Long,9889.9,1,9881.9,8,0.08,8,0.08,-0.7,-0.01,8,0.32
3,Entry long,2025-12-29 05:15,Long,9881.9,1,9881.9,8,0.08,8,0.08,-0.7,-0.01,8,0.32
4,Exit long,2025-12-29 07:01,Exit Long,9891.6,1,9883.6,8,0.08,8,0.08,-0.1,0.00,16,0.64
4,Entry long,2025-12-29 06:43,Long,9883.6,1,9883.6,8,0.08,8,0.08,-0.1,0.00,16,0.64
5,Exit short,2025-12-29 07:40,Exit Short,9884.7,1,9892.7,8,0.08,8,0.08,-2.5,-0.03,24,0.96
5,Entry short,2025-12-29 07:03,Short,9892.7,1,9892.7,8,0.08,8,0.08,-2.5,-0.03,24,0.96
6,Exit long,2025-12-29 08:00,Exit Long,9888.4,1,9880.4,8,0.08,8,0.08,-6,-0.06,32,1.28
6,Entry long,2025-12-29 07:51,Long,9880.4,1,9880.4,8,0.08,8,0.08,-6,-0.06,32,1.28
7,Exit long,2025-12-29 08:11,Exit Long,9880.7,1,9872.7,8,0.08,8,0.08,-0.6,-0.01,40,1.60
7,Entry long,2025-12-29 08:10,Long,9872.7,1,9872.7,8,0.08,8,0.08,-0.6,-0.01,40,1.60
8,Exit long,2025-12-29 08:37,Exit Long,9883.1,1,9875.1,8,0.08,8,0.08,-7.3,-0.07,48,1.92
8,Entry long,2025-12-29 08:25,Long,9875.1,1,9875.1,8,0.08,8,0.08,-7.3,-0.07,48,1.92
9,Exit long,2025-12-29 08:58,Exit Long,9878,1,9870,8,0.08,8,0.08,-1.7,-0.02,56,2.24
9,Entry long,2025-12-29 08:54,Long,9870,1,9870,8,0.08,8,0.08,-1.7,-0.02,56,2.24
10,Exit short,2025-12-29 09:42,Exit Short,9886.4,1,9878.4,-8,-0.08,4.1,0.04,-8,-0.08,48,1.92
10,Entry short,2025-12-29 09:31,Short,9878.4,1,9878.4,-8,-0.08,4.1,0.04,-8,-0.08,48,1.92
11,Exit short,2025-12-29 10:09,Exit Short,9879.5,1,9887.5,8,0.08,8,0.08,-0.7,-0.01,56,2.24
11,Entry short,2025-12-29 09:47,Short,9887.5,1,9887.5,8,0.08,8,0.08,-0.7,-0.01,56,2.24
