Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit short,2025-12-29 02:34,Exit Short,9899.3,1,9899.3,0,0.00,0.4,0.00,-0.3,0.00,0,0.00
1,Entry short,2025-12-29 02:32,Short,9899.3,1,9899.3,0,0.00,0.4,0.00,-0.3,0.00,0,0.00
2,Exit long,2025-12-29 03:41,Safety Net,9891.9,1,9892.7,-0.8,-0.01,0.2,0.00,-2.6,-0.03,-0.8,-0.03
2,Entry long,2025-12-29 03:19,Long,9892.7,1,9892.7,-0.8,-0.01,0.2,0.00,-2.6,-0.03,-0.8,-0.03
3,Exit long,2025-12-29 03:53,Exit Long,9888.6,1,9888.6,0,0.00,0.4,0.00,0,0.00,-0.8,-0.03
3,Entry long,2025-12-29 03:52,Long,9888.6,1,9888.6,0,0.00,0.4,0.00,0,0.00,-0.8,-0.03
4,Exit long,2025-12-29 05:16,Exit Long,9882.1,1,9881.9,0.2,0.00,0.5,0.01,0,0.00,-0.6,-0.02
4,Entry long,2025-12-29 05:15,Long,9881.9,1,9881.9,0.2,0.00,0.5,0.01,0,0.00,-0.6,-0.02
5,Exit short,2025-12-29 06:25,Exit Short,9888.1,1,9888.9,0.8,0.01,1.1,0.01,0,0.00,0.2,0.01
5,Entry short,2025-12-29 06:25,Short,9888.9,1,9888.9,0.8,0.01,1.1,0.01,0,0.00,0.2,0.01
6,Exit long,2025-12-29 06:46,Exit Long,9884.4,1,9883.6,0.8,0.01,1.6,0.02,-0.1,0.00,1,0.04
6,Entry long,2025-12-29 06:43,Long,9883.6,1,9883.6,0.8,0.01,1.6,0.02,-0.1,0.00,1,0.04
7,Exit short,2025-12-29 07:06,Exit Short,9890.7,1,9892.7,2,0.02,2.3,0.02,-2.5,-0.03,3,0.12
7,Entry short,2025-12-29 07:03,Short,9892.7,1,9892.7,2,0.02,2.3,0.02,-2.5,-0.03,3,0.12
8,Exit long,2025-12-29 07:59,Exit Long,9880.7,1,9880.4,0.3,0.00,0.6,0.01,-6,-0.06,3.3,0.13
8,Entry long,2025-12-29 07:51,Long,9880.4,1,9880.4,0.3,0.00,0.6,0.01,-6,-0.06,3.3,0.13
9,Exit long,2025-12-29 08:10,Exit Long,9877.7,1,9872.7,5,0.05,5.3,0.05,-0.6,-0.01,8.3,0.33
9,Entry long,2025-12-29 08:10,Long,9872.7,1,9872.7,5,0.05,5.3,0.05,-0.6,-0.01,8.3,0.33
10,Exit long,2025-12-29 08:27,Exit Long,9876.4,1,9875.1,1.3,0.01,1.6,0.02,-4,-0.04,9.6,0.38
10,Entry long,2025-12-29 08:25,Long,9875.1,1,9875.1,1.3,0.01,1.6,0.02,-4,-0.04,9.6,0.38
11,Exit long,2025-12-29 08:32,Exit Long,9878.8,1,9871.2,7.6,0.08,7.9,0.08,-0.1,0.00,17.2,0.69
11,Entry long,2025-12-29 08:31,Long,9871.2,1,9871.2,7.6,0.08,7.9,0.08,-0.1,0.00,17.2,0.69
12,Exit long,2025-12-29 08:54,Exit Long,9870.9,1,9870,0.9,0.01,1.2,0.01,-0.8,-0.01,18.1,0.72
12,Entry long,2025-12-29 08:54,Long,9870,1,9870,0.9,0.01,1.2,0.01,-0.8,-0.01,18.1,0.72
13,Exit short,2025-12-29 09:31,Exit Short,9876.8,1,9878.4,1.6,0.02,1.9,0.02,-0.9,-0.01,19.7,0.79
13,Entry short,2025-12-29 09:31,Short,9878.4,1,9878.4,1.6,0.02,1.9,0.02,-0.9,-0.01,19.7,0.79
14,Exit short,2025-12-29 09:48,Exit Short,9886.3,1,9887.5,1.2,0.01,1.5,0.02,-0.7,-0.01,20.9,0.84
14,Entry short,2025-12-29 09:47,Short,9887.5,1,9887.5,1.2,0.01,1.5,0.02,-0.7,-0.01,20.9,0.84
15,Exit long,2025-12-29 10:15,Exit Long,9880,1,9877.7,2.3,0.02,2.6,0.03,0,0.00,23.2,0.93
15,Entry long,2025-12-29 10:15,Long,9877.7,1,9877.7,2.3,0.02,2.6,0.03,0,0.00,23.2,0.93
16,Exit long,2025-12-29 10:51,Exit Long,9874.7,1,9873.7,1,0.01,1.3,0.01,0,0.00,24.2,0.97
16,Entry long,2025-12-29 10:50,Long,9873.7,1,9873.7,1,0.01,1.3,0.01,0,0.00,24.2,0.97
17,Exit long,2025-12-29 10:58,Exit Long,9876.3,1,9874.6,1.7,0.02,2,0.02,-1.8,-0.02,25.9,1.04
17,Entry long,2025-12-29 10:55,Long,9874.6,1,9874.6,1.7,0.02,2,0.02,-1.8,-0.02,25.9,1.04
18,Exit short,2025-12-29 11:16,Exit Short,9884,1,9885.5,1.5,0.02,1.8,0.02,-0.7,-0.01,27.4,1.10
18,Entry short,2025-12-29 11:14,Short,9885.5,1,9885.5,1.5,0.02,1.8,0.02,-0.7,-0.01,27.4,1.10
19,Exit short,2025-12-29 11:54,Exit Short,9885.2,1,9885.5,0.3,0.00,0.6,0.01,0,0.00,27.7,1.11
19,Entry short,2025-12-29 11:54,Short,9885.5,1,9885.5,0.3,0.00,0.6,0.01,0,0.00,27.7,1.11
20,Exit short,2025-12-29 12:00,Exit Short,9888.8,1,9890.5,1.7,0.02,2,0.02,-0.7,-0.01,29.4,1.18
20,Entry short,2025-12-29 12:00,Short,9890.5,1,9890.5,1.7,0.02,2,0.02,-0.7,-0.01,29.4,1.18
