Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit short,2025-12-29 00:46,Exit Short,48750.7,1,48742.7,-8,-0.02,0.1,0.00,-8,-0.02,-8,-0.32
1,Entry short,2025-12-29 00:41,Short,48742.7,1,48742.7,-8,-0.02,0.1,0.00,-8,-0.02,-8,-0.32
2,Exit short,2025-12-29 00:52,Exit Short,48737.8,1,48745.8,8,0.02,8,0.02,-1.9,0.00,0,0.00
2,Entry short,2025-12-29 00:49,Short,48745.8,1,48745.8,8,0.02,8,0.02,-1.9,0.00,0,0.00
3,Exit short,2025-12-29 01:06,Exit Short,48744.4,1,48752.4,8,0.02,8,0.02,-2.4,0.00,8,0.32
3,Entry short,2025-12-29 01:03,Short,48752.4,1,48752.4,8,0.02,8,0.02,-2.4,0.00,8,0.32
4,Exit long,2025-12-29 01:40,Exit Long,48723.1,1,48731.1,-8,-0.02,5.7,0.01,-8,-0.02,0,0.00
4,Entry long,2025-12-29 01:31,Long,48731.1,1,48731.1,-8,-0.02,5.7,0.01,-8,-0.02,0,0.00
5,Exit long,2025-12-29 01:44,Exit Long,48734.4,1,48726.4,8,0.02,8,0.02,-1.2,0.00,8,0.32
5,Entry long,2025-12-29 01:43,Long,48726.4,1,48726.4,8,0.02,8,0.02,-1.2,0.00,8,0.32
6,Exit long,2025-12-29 02:59,Exit Long,48710.5,1,48718.5,-8,-0.02,6.6,0.01,-8,-0.02,0,0.00
6,Entry long,2025-12-29 02:00,Long,48718.5,1,48718.5,-8,-0.02,6.6,0.01,-8,-0.02,0,0.00
7,Exit long,2025-12-29 03:10,Exit Long,48721.6,1,48713.6,8,0.02,8,0.02,-0.3,0.00,8,0.32
7,Entry long,2025-12-29 03:01,Long,48713.6,1,48713.6,8,0.02,8,0.02,-0.3,0.00,8,0.32
8,Exit short,2025-12-29 04:28,Exit Short,48720,1,48728,8,0.02,8,0.02,-2.7,-0.01,16,0.64
8,Entry short,2025-12-29 03:42,Short,48728,1,48728,8,0.02,8,0.02,-2.7,-0.01,16,0.64
9,Exit short,2025-12-29 04:53,Exit Short,48716.6,1,48724.6,8,0.02,8,0.02,-1.2,0.00,24,0.96
9,Entry short,2025-12-29 04:46,Short,48724.6,1,48724.6,8,0.02,8,0.02,-1.2,0.00,24,0.96
10,Exit long,2025-12-29 04:59,Exit Long,48710.6,1,48718.6,-8,-0.02,0,0.00,-8,-0.02,16,0.64
10,Entry long,2025-12-29 04:55,Long,48718.6,1,48718.6,-8,-0.02,0,0.00,-8,-0.02,16,0.64
11,Exit long,2025-12-29 05:09,Exit Long,48691.2,1,48699.2,-8,-0.02,2.6,0.01,-8,-0.02,8,0.32
11,Entry long,2025-12-29 05:03,Long,48699.2,1,48699.2,-8,-0.02,2.6,0.01,-8,-0.02,8,0.32
12,Exit long,2025-12-29 05:54,Exit Long,48703.3,1,48695.3,8,0.02,8,0.02,-4.8,-0.01,16,0.64
