Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit long,2025-12-29 00:48,Safety Net,6935.3,1,6930.6,4.7,0.07,5.5,0.08,-1.3,-0.02,4.7,0.19
1,Entry long,2025-12-29 00:02,Long,6930.6,1,6930.6,4.7,0.07,5.5,0.08,-1.3,-0.02,4.7,0.19
2,Exit short,2025-12-29 01:07,Safety Net,6933.6,1,6934.8,1.2,0.02,1.5,0.02,-2.3,-0.03,5.9,0.24
2,Entry short,2025-12-29 00:49,Short,6934.8,1,6934.8,1.2,0.02,1.5,0.02,-2.3,-0.03,5.9,0.24
3,Exit long,2025-12-29 02:44,Safety Net,6927.3,1,6930.6,-3.3,-0.05,1,0.01,-5.5,-0.08,2.6,0.10
3,Entry long,2025-12-29 01:31,Long,6930.6,1,6930.6,-3.3,-0.05,1,0.01,-5.5,-0.08,2.6,0.10
4,Exit short,2025-12-29 02:56,Safety Net,6927.3,1,6927.6,0.3,0.00,0.6,0.01,0,0.00,2.9,0.12
4,Entry short,2025-12-29 02:52,Short,6927.6,1,6927.6,0.3,0.00,0.6,0.01,0,0.00,2.9,0.12
5,Exit short,2025-12-29 03:15,Safety Net,6927.2,1,6928.1,0.9,0.01,1,0.01,-0.5,-0.01,3.8,0.15
5,Entry short,2025-12-29 03:08,Short,6928.1,1,6928.1,0.9,0.01,1,0.01,-0.5,-0.01,3.8,0.15
6,Exit long,2025-12-29 03:33,Safety Net,6928,1,6926.1,1.9,0.03,1.9,0.03,-1,-0.01,5.7,0.23
6,Entry long,2025-12-29 03:24,Long,6926.1,1,6926.1,1.9,0.03,1.9,0.03,-1,-0.01,5.7,0.23
7,Exit short,2025-12-29 04:29,Safety Net,6929.8,1,6928.6,-1.2,-0.02,0,0.00,-2.2,-0.03,4.5,0.18
7,Entry short,2025-12-29 03:42,Short,6928.6,1,6928.6,-1.2,-0.02,0,0.00,-2.2,-0.03,4.5,0.18
8,Exit short,2025-12-29 04:51,Safety Net,6930.3,1,6930.6,0.3,0.00,0.3,0.00,-1,-0.01,4.8,0.19
8,Entry short,2025-12-29 04:41,Short,6930.6,1,6930.6,0.3,0.00,0.3,0.00,-1,-0.01,4.8,0.19
9,Exit long,2025-12-29 05:49,Safety Net,6925.8,1,6926.1,-0.3,0.00,0.9,0.01,-2.8,-0.04,4.5,0.18
9,Entry long,2025-12-29 05:03,Long,6926.1,1,6926.1,-0.3,0.00,0.9,0.01,-2.8,-0.04,4.5,0.18
10,Exit long,2025-12-29 06:10,Safety Net,6925.1,1,6923.7,1.4,0.02,1.6,0.02,-0.6,-0.01,5.9,0.24
10,Entry long,2025-12-29 06:04,Long,6923.7,1,6923.7,1.4,0.02,1.6,0.02,-0.6,-0.01,5.9,0.24
11,Exit short,2025-12-29 06:36,Safety Net,6925.8,1,6926.1,0.3,0.00,0.8,0.01,-2.7,-0.04,6.2,0.25
11,Entry short,2025-12-29 06:15,Short,6926.1,1,6926.1,0.3,0.00,0.8,0.01,-2.7,-0.04,6.2,0.25
12,Exit long,2025-12-29 07:30,Safety Net,6924.7,1,6923.7,1,0.01,1.6,0.02,-4.1,-0.06,7.2,0.29
